code,name
656618,Белебей (Кбш)
213500,Белев (Моск)
435408,Беленихино (Ю-Вост)
910335,Беленькая (ДВост)
544709,Белиджи (С-Кав)
633300,Белинская (Кбш)
271101,Белка-Слободская (Горьк)
284915,Белки (обп) (Сев)
862305,Белово (З-Сиб)
518102,Белоглинская (С-Кав)
950008,Белогорск (Заб)
950101,Белогорск II (Заб)
954511,Белогорье (Заб)
014802,Белое Море (Окт)
652301,Белое Озеро (Кбш)
541823,Белое Озеро (рзд) (С-Кав)
884223,Белозерка (рзд) (Крас)
434602,Беломестная (Ю-Вост)
013000,Беломорск (Окт)
013301,Беломорск (перев.) (Окт)
039208,Белоостров (Окт)
654307,Белорецк (Кбш)
534603,Белореченская (С-Кав)
614117,Белушкино (рзд) (Прив)
200407,Белые Берега (Моск)
192802,Белые Столбы (Моск)
050404,Белый Городок (Окт)
644708,Белый Ключ (Кбш)
238141,Белый Раст (Моск)
875803,Белый Яр (З-Сиб)
237308,Бельково (Моск)
886367,Бельсу (рзд) (Крас)
887209,Бельтыры (Крас)
654909,Бензин (Кбш)
622607,Бердия (Прив)
853109,Бердск (З-Сиб)
806606,Бердяуш (Ю-Ур)
889420,Береж (рзд) (Крас)
053008,Березайка (Окт)
785005,Березит (Сверд)
070003,Березки (Окт)
769002,Березники-Сортировочная (Сверд)
185870,Березовский (Моск)
954403,Березовский-Восточный (Заб)
313408,Берендеево (Сев)
233345,Берендино (Моск)
222105,Берестянки (Моск)
246103,Берещино (Горьк)
953114,Берея (Заб)
544215,Берикей (С-Кав)
876401,Берикульская (З-Сиб)
911408,Беркакит (ДВост)
790732,Беркутский (обп) (Сверд)
927020,Бермякино (рзд) (В-Сиб)
212404,Берники (Моск)
195800,Бескудниково (Моск)
538500,Беслан (С-Кав)
630505,Бессоновка (Кбш)
910833,Бестужево (рзд) (ДВост)
186407,Бетлица (Моск)
610807,Бетонная (Прив)
610703,Бетонная-Товарная (Прив)
841173,Бешенцево (З-Сиб)
531910,Бештау (С-Кав)
802925,Бижеляк (рзд) (Ю-Ур)
764511,Бизь (Сверд)
843200,Бийск (З-Сиб)
258018,Бикбардинский (рзд) (Горьк)
972204,Бикин (ДВост)
648202,Биклянь (Кбш)
651116,Бикметово (пп) (Кбш)
781907,Билимбай (Сверд)
946731,Билютуй (Заб)
962503,Бира (ДВост)
962005,Биракан (ДВост)
804831,Биргильда (обп) (Ю-Ур)
902714,Бирея (рзд) (В-Сиб)
886901,Биркчул (Крас)
962804,Биробиджан I (ДВост)
963008,Биробиджан II (ДВост)
962908,Бирофельд (ДВост)
610648,Бирюзовый (Прив)
193307,Бирюлево-Товарная (Моск)
253300,Бирюли (Горьк)
871906,Бирюлинская (З-Сиб)
920106,Бирюсинск (В-Сиб)
581209,Бирюч (Ю-Вост)
766606,Бисер (Сверд)
259504,Бисертский Завод (Горьк)
886600,Бискамжа (Крас)
582607,Битюг (Ю-Вост)
644396,Бичевной (Кбш)
805069,Бишкиль (Ю-Ур)
656105,Биянка (Кбш)
651402,Благовар (Кбш)
954704,Благовещенск (Заб)
954808,Благовещенск (перев. ) (Заб)
197613,Благовещенское (Моск)
527703,Благодарное (С-Кав)
595804,Благодатенский (Ю-Вост)
607720,Благодатка (Ю-Вост)
217516,Благодатная (Моск)
773205,Благодать (Сверд)
308217,Блины (рзд) (Сев)
903238,Блокпост 1084 км (В-Сиб)
041528,Блокпост 113 км (Окт)
053718,Блокпост 118 км (Окт)
053332,Блокпост 119 км (Окт)
053224,Блокпост 120 км (Окт)
050014,Блокпост 122 км (Окт)
281917,Блокпост 1264 км (Сев)
281921,Блокпост 1266 км (Сев)
206259,Блокпост 13 км (Моск)
514008,Блокпост 13 км (С-Кав)
650626,Блокпост 1331 км (Кбш)
284436,Блокпост 1363 км (Сев)
651489,Блокпост 1453 км (Кбш)
973813,Блокпост 1634 км (ДВост)
784426,Блокпост 17 км (Сверд)
287843,Блокпост 1811 км (Сев)
288051,Блокпост 1846 км (Сев)
288047,Блокпост 1847 км (Сев)
288174,Блокпост 1854 км (Сев)
288165,Блокпост 1856 км (Сев)
220044,Блокпост 187 км (Моск)
988221,Блокпост 1875 км (ДВост)
288511,Блокпост 1974 км (Сев)
222815,Блокпост 204 км (Моск)
790817,Блокпост 2218 км (Сверд)
784816,Блокпост 29 км (Сверд)
601117,Блокпост 437 км (Ю-Вост)
587615,Блокпост 47 км (С-Кав)
601333,Блокпост 471 км (Ю-Вост)
587723,Блокпост 58 км (С-Кав)
587812,Блокпост 77 км (С-Кав)
627530,Блокпост 92 км (Прив)
614239,Блокпост 997 км (Прив)
207800,Блохино (Моск)
760402,Блочная (Сверд)
597617,Блочный Завод (Ю-Вост)
987905,Блюхер (ДВост)
813629,Блява (обп) (Ю-Ур)
247329,Бобоедово (рзд) (Горьк)
225601,Бобрик-Донской (Моск)
582700,Бобров (Ю-Вост)
621229,Бобровка (Прив)
244301,Бобыльская (Горьк)
790709,Богандинская (Сверд)
229509,Богатищево (Моск)
810404,Богатое (Ю-Ур)
873808,Богашево (З-Сиб)
793209,Богданович (Сверд)
618122,Богдо (Прив)
869431,Богемка (Крым)
262723,Боголюбово (Горьк)
530602,Богословская (С-Кав)
880801,Боготол (Крас)
603803,Богоявленск (Ю-Вост)
587511,Богураево (С-Кав)
960809,Богучан (ДВост)
306014,Богчина (рзд) (Сев)
597602,Бодеево (Ю-Вост)
812310,Боевая Гора (рзд) (Ю-Ур)
589004,Божковская (С-Кав)
199712,Бойня (Моск)
972134,Бойцово (ДВост)
782007,Бойцы (Сверд)
601507,Бокино (Ю-Вост)
765001,Боковая (Сверд)
775709,Бокситы (Сверд)
255630,Болгуры (рзд) (Горьк)
262210,Болдино (Горьк)
919109,Болен (ДВост)
050009,Бологое-Московское (Окт)
050103,Бологое-Полоцкое (Окт)
964809,Болонь (ДВост)
854402,Болотная (З-Сиб)
434424,Болховец (Ю-Вост)
235001,Болшево (Моск)
319315,Большаково (Сев)
104854,Большаково-Новое (Клнг)
041621,Большая Вишера (Окт)
239002,Большая Волга (Моск)
075204,Большая Ижора (Окт)
889204,Большая Ирба (Крас)
882101,Большая Кеть (рзд) (Крас)
295106,Большая Кяма (Сев)
951354,Большая Омутная (Заб)
842509,Большая Речка (З-Сиб)
627719,Большая Таволожка (Прив)
527737,Большевистская Искра (С-Кав)
810974,Большеиргизский (обп) (Ю-Ур)
795810,Большесельский (рзд) (Сверд)
047401,Большой Двор (Окт)
983105,Большой Камень (ДВост)
983302,Большой Камень (перев.) (ДВост)
933002,Большой Луг (В-Сиб)
952107,Большой Невер (Заб)
913865,Большой Нимныр рзд (ЖДЯ)
590637,Бор (Ю-Вост)
944702,Борзя (Заб)
036303,Борисова Грива (Окт)
599006,Борисоглебск (Ю-Вост)
028307,Боровая (Окт)
041104,Боровенка (Окт)
022508,Боровинка (Окт)
840679,Боровиха (обп) (З-Сиб)
053506,Боровичи (Окт)
175807,Бородино (Моск)
022300,Бородинское (Окт)
762253,Бородулино (Сверд)
542215,Бороздинский (рзд) (С-Кав)
052823,Бочановка (Окт)
598713,Бочарниково (Ю-Вост)
862606,Бочаты (З-Сиб)
893322,Бошняково (Крас)
228328,Бояринцево (Моск)
013710,Боярская (Окт)
934659,Боярский (В-Сиб)
307002,Брантовка (Сев)
204605,Брасово (Моск)
924605,Братск (В-Сиб)
924925,Братское Море (В-Сиб)
816006,Бреды (Ю-Ур)
228012,Брикетная (Моск)
304413,Бродни (рзд) (Сев)
035323,Броневая (Окт)
075308,Бронка (Окт)
195001,Бронницы (Моск)
295445,Брусеница (Сев)
918206,Брусит (рзд) (ДВост)
027018,Брусничная (Окт)
052109,Брусово (Окт)
066328,Брыканово (Окт)
185264,Брынь (рзд) (Моск)
516107,Брюховецкая (С-Кав)
646103,Бряндино (Кбш)
200207,Брянск-Восточный (Моск)
200002,Брянск-Льговский (Моск)
200106,Брянск-Орловский (Моск)
200159,Брянск-Северный (Моск)
061610,Брянцево (Окт)
070215,Брянчаниново (Окт)
249409,Буа (Горьк)
